index,ca,c1,c2,m,f+,f-,f0,fdd,p1,p2,ba,bv,t,p,co/h2,t/h,L/M,S/M,M,MW,XLogP3,TPSA,Density,MV,RI,DM,MP,BP,L/B
37,179.6257513,-0.02684731,-0.09648615,-0.10774884,0.146,-0.001,0.072,0.147,0.01080123,-0.04159968,97.76892976,0.551895034,373.15,40,1,16,2.2,500,3.4,72.11,0.5,9.2,0.887,81.3,1.407,1.69,-108,65,0.454258372
38,179.6257513,-0.02684731,-0.09648615,-0.10774884,0.146,-0.001,0.072,0.147,0.01080123,-0.04159968,97.76892976,0.551895034,353.15,40,1,16,2.2,500,3.4,72.11,0.5,9.2,0.887,81.3,1.407,1.69,-108,65,0.477121255
39,179.6257513,-0.02684731,-0.09648615,-0.10774884,0.146,-0.001,0.072,0.147,0.01080123,-0.04159968,97.76892976,0.551895034,373.15,50,1,16,2.2,500,3.4,72.11,0.5,9.2,0.887,81.3,1.407,1.69,-108,65,0.454258372
40,179.6257513,-0.02684731,-0.09648615,-0.10774884,0.146,-0.001,0.072,0.147,0.01080123,-0.04159968,97.76892976,0.551895034,373.15,20,1,16,2.2,500,3.4,72.11,0.5,9.2,0.887,81.3,1.407,1.69,-108,65,0.477121255
41,179.6257513,-0.02684731,-0.09648615,-0.10774884,0.146,-0.001,0.072,0.147,0.01080123,-0.04159968,97.76892976,0.551895034,373.15,10,1,16,2.2,500,3.4,72.11,0.5,9.2,0.887,81.3,1.407,1.69,-108,65,0.477121255
42,179.6257513,-0.02684731,-0.09648615,-0.10774884,0.146,-0.001,0.072,0.147,0.01080123,-0.04159968,97.76892976,0.551895034,373.15,20,2,16,2.2,500,3.4,72.11,0.5,9.2,0.887,81.3,1.407,1.69,-108,65,0.477121255
43,179.6257513,-0.02684731,-0.09648615,-0.10774884,0.146,-0.001,0.072,0.147,0.01080123,-0.04159968,97.76892976,0.551895034,373.15,20,3,16,2.2,500,3.4,72.11,0.5,9.2,0.887,81.3,1.407,1.69,-108,65,0.500602351
44,179.6257513,-0.02684731,-0.09648615,-0.10774884,0.146,-0.001,0.072,0.147,0.01080123,-0.04159968,97.76892976,0.551895034,373.15,20,2,20,1,500,3.4,72.11,0.5,9.2,0.887,81.3,1.407,1.69,-108,65,0.410174465
45,179.6257513,-0.02684731,-0.09648615,-0.10774884,0.146,-0.001,0.072,0.147,0.01080123,-0.04159968,97.76892976,0.551895034,373.15,20,2,20,4,500,3.4,72.11,0.5,9.2,0.887,81.3,1.407,1.69,-108,65,0.500602351
46,179.6257513,-0.02684731,-0.09648615,-0.10774884,0.146,-0.001,0.072,0.147,0.01080123,-0.04159968,97.76892976,0.551895034,373.15,20,2,20,3,500,3.4,72.11,0.5,9.2,0.887,81.3,1.407,1.69,-108,65,0.500602351
47,179.6257513,-0.02684731,-0.09648615,-0.10774884,0.146,-0.001,0.072,0.147,0.01080123,-0.04159968,97.76892976,0.551895034,373.15,20,2,20,2.2,500,3.4,72.11,0.5,9.2,0.887,81.3,1.407,1.69,-108,65,0.500602351
48,179.6257513,-0.02684731,-0.09648615,-0.10774884,0.146,-0.001,0.072,0.147,0.01080123,-0.04159968,97.76892976,0.551895034,373.15,20,2,20,3,500,3.4,72.11,0.5,9.2,0.887,81.3,1.407,1.69,-108,65,0.500602351
49,179.6257513,-0.02684731,-0.09648615,-0.06053696,0.115,-0.003,0.056,0.118,0.09101438,0.0821358,157.7865373,0.745154678,373.15,20,2,20,2.2,500,3.4,72.11,0.5,9.2,0.887,81.3,1.407,1.69,-108,65,0.788370416
50,179.6257513,-0.02684731,-0.09648615,-0.15017842,0.085,0.013,0.049,0.072,0.53358977,0.52215933,165.6002666,0.759527581,373.15,20,2,20,2.2,500,3.4,72.11,0.5,9.2,0.887,81.3,1.407,1.69,-108,65,0.388860351
51,179.6257513,-0.02684731,-0.09648615,-0.10748009,0.153,0.005,0.079,0.148,0.01040741,-0.05012668,92.27837133,0.518490263,373.15,20,2,20,1,500,3.4,72.11,0.5,9.2,0.887,81.3,1.407,1.69,-108,65,0.454258372
52,179.6257513,-0.02684731,-0.09648615,-0.14791962,0.102,0.001,0.051,0.101,0.01168048,-0.03674235,104.8026628,0.730741008,373.15,20,2,20,2.2,500,3.4,72.11,0.5,9.2,0.887,81.3,1.407,1.69,-108,65,0.410174465
53,179.6257513,-0.02684731,-0.09648615,-0.15330267,0.13,0.1,0.115,0.03,0.00581772,-0.03020823,106.4832359,0.623811964,373.15,20,2,20,2.2,500,3.4,72.11,0.5,9.2,0.887,81.3,1.407,1.69,-108,65,0.307560863
54,179.6257513,-0.02684731,-0.09648615,-0.19225902,0.031,0.014,0.022,0.017,0.09220776,0.09156396,93.26473737,0.745492452,373.15,20,2,20,2.2,500,3.4,72.11,0.5,9.2,0.887,81.3,1.407,1.69,-108,65,0.454258372
55,179.6257513,-0.02684731,-0.09648615,-0.10774884,0.146,-0.001,0.072,0.147,0.01080123,-0.04159968,97.76892976,0.551895034,373.15,20,2,20,2,500,3.4,72.11,0.5,9.2,0.887,81.3,1.407,1.69,-108,65,0.454258372
56,179.6257513,-0.02684731,-0.09648615,-0.10774884,0.146,-0.001,0.072,0.147,0.01080123,-0.04159968,97.76892976,0.551895034,393.15,20,2,20,8,5000,3.4,72.11,0.5,9.2,0.887,81.3,1.407,1.69,-108,65,0.500602351
