Index,olefin,metal,Ligand-M,ligand,solvent,T(K),p(bar),CO/H2,t(h),L/M,S/M,[M](mM),CA,C1,C2,CM,P1,P2,BA,BV,t,P,CO/H2,t/h,L/M,S/M,M,MW,XLogP3,TPSA,Density,MV,RI,DM,MP,BP,L/B
20,C=CC1=CC=CC=C1,Rh,C[C@H](CC[C@H]1C)P->%161C2=C(P->%17(OC3=CC=C(C=CC=C4)C4=[C@@]35)OC6=[C@@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82.[RhH]%16%17%18.[C-]->%18#[O+],C[C@H](CC[C@H]1C)P1C2=C(P(OC3=CC=C(C=CC=C4)C4=[C@@]35)OC6=[C@@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82,CC1=CC=CC=C1,333.15,10,1,25,2,1213,2.042857143,85.3619317,-0.086168799,0.038186577,-0.084670187,0.308025222,0.193122088,85.9453678,0.441745481,333.15,10,1,25,2,1213,2.042857143,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-1.255272505
21,C=CC1=CC=CC=C1,Rh,C[C@H](CC[C@H]1C)P->%161C2=C(P->%17(OC3=CC=C(C=CC=C4)C4=[C@@]35)OC6=[C@@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82.[RhH]%16%17%18.[C-]->%18#[O+],C[C@H](CC[C@H]1C)P1C2=C(P(OC3=CC=C(C=CC=C4)C4=[C@@]35)OC6=[C@@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82,CC1=CC=CC=C1,333.15,20,1,25,2,1213,2.042857143,85.3619317,-0.086168799,0.038186577,-0.084670187,0.308025222,0.193122088,85.9453678,0.441745481,333.15,20,1,25,2,1213,2.042857143,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-1.322219295
22,C=CC1=CC=CC=C1,Rh,C[C@H](CC[C@H]1C)P->%161C2=C(P->%17(OC3=CC=C(C=CC=C4)C4=[C@@]35)OC6=[C@@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82.[RhH]%16%17%18.[C-]->%18#[O+],C[C@H](CC[C@H]1C)P1C2=C(P(OC3=CC=C(C=CC=C4)C4=[C@@]35)OC6=[C@@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82,CC1=CC=CC=C1,333.15,30,1,25,2,1213,2.042857143,85.3619317,-0.086168799,0.038186577,-0.084670187,0.308025222,0.193122088,85.9453678,0.441745481,333.15,30,1,25,2,1213,2.042857143,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-1.342422681
23,C=CC1=CC=CC=C1,Rh,C[C@H](CC[C@H]1C)P->%161C2=C(P->%17(OC3=CC=C(C=CC=C4)C4=[C@@]35)OC6=[C@@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82.[RhH]%16%17%18.[C-]->%18#[O+],C[C@H](CC[C@H]1C)P1C2=C(P(OC3=CC=C(C=CC=C4)C4=[C@@]35)OC6=[C@@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82,CC1=CC=CC=C1,333.15,40,1,25,2,1213,2.042857143,85.3619317,-0.086168799,0.038186577,-0.084670187,0.308025222,0.193122088,85.9453678,0.441745481,333.15,40,1,25,2,1213,2.042857143,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-1.342422681
24,C=CC1=CC=CC=C1,Rh,C[C@H](CC[C@H]1C)P->%161C2=C(P->%17(OC3=CC=C(C=CC=C4)C4=[C@]35)OC6=[C@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82.[RhH]%16%17%18.[C-]->%18#[O+],C[C@H](CC[C@H]1C)P1C2=C(P(OC3=CC=C(C=CC=C4)C4=[C@]35)OC6=[C@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82,CC1=CC=CC=C1,333.15,20,1,24,1,1213,2.042857143,85.3619317,-0.086168799,0.038186577,-0.095190349,0.309201273,0.193050198,85.61116421,0.437331113,333.15,20,1,24,1,1213,2.042857143,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-0.301029996
25,C=CC1=CC=CC=C1,Rh,C[C@H](CC[C@H]1C)P->%161C2=C(P->%17(OC3=CC=C(C=CC=C4)C4=[C@]35)OC6=[C@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82.[RhH]%16%17%18.[C-]->%18#[O+],C[C@H](CC[C@H]1C)P1C2=C(P(OC3=CC=C(C=CC=C4)C4=[C@]35)OC6=[C@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82,CC1=CC=CC=C1,333.15,20,1,24,1,1213,2.042857143,85.3619317,-0.086168799,0.038186577,-0.095190349,0.309201273,0.193050198,85.61116421,0.437331113,333.15,20,1,24,1,1213,2.042857143,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-0.903089987
26,C=CC1=CC=CC=C1,Rh,C[C@H](CC[C@H]1C)P->%161C2=C(P->%17(OC3=CC=C(C=CC=C4)C4=[C@]35)OC6=[C@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82.[RhH]%16%17%18.[C-]->%18#[O+],C[C@H](CC[C@H]1C)P1C2=C(P(OC3=CC=C(C=CC=C4)C4=[C@]35)OC6=[C@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82,CC1=CC=CC=C1,333.15,20,1,24,2,1213,2.042857143,85.3619317,-0.086168799,0.038186577,-0.095190349,0.309201273,0.193050198,85.61116421,0.437331113,333.15,20,1,24,2,1213,2.042857143,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-1.301029996
27,C=CC1=CC=CC=C1,Rh,C[C@H](CC[C@H]1C)P->%161C2=C(P->%17(OC3=CC=C(C=CC=C4)C4=[C@]35)OC6=[C@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82.[RhH]%16%17%18.[C-]->%18#[O+],C[C@H](CC[C@H]1C)P1C2=C(P(OC3=CC=C(C=CC=C4)C4=[C@]35)OC6=[C@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82,CC1=CC=CC=C1,333.15,20,1,24,3,1213,2.042857143,85.3619317,-0.086168799,0.038186577,-0.095190349,0.309201273,0.193050198,85.61116421,0.437331113,333.15,20,1,24,3,1213,2.042857143,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-1.342422681
28,C=CCCCCCC,Ir,C1=CC=C(P->%16(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P->%17(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.[IrH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,C1CCOC1,373.15,40,1,16,2.2,500,5.1,86.52014523,-0.097025505,-0.034436355,-0.251065951,0.256459724,0.235553139,97.76892976,0.551895034,373.15,40,1,16,2.2,500,5.1,72.11,0.5,9.2,0.887,81.3,1.407,1.69,-108,65,0.500602351
29,C=CCCCCCC,Ir,C1=CC=C(P->%16(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.C1=CC=C(P->%17(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.[IrH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,CC1=CC=CC=C1C,373.15,40,1,16,2.2,500,5.1,86.52014523,-0.097025505,-0.034436355,-0.251065951,0.256459724,0.235553139,97.76892976,0.551895034,373.15,40,1,16,2.2,500,5.1,106.17,3.1,0,0.876,121.2,1.505,0.45,-25,146,0.477121255
