Entry,olefin,metal,Ligand-M,ligand,solvent,T(K),p(bar),CO/H2,t(h),L/M,S/M,[M](mM),L/B,kb,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
862,C=CC1=CC=CC=C1,Rh,CC1=CC2=C(OC3=C(P->%16(C4=CC=C(Cl)C=C4)C4=CC=C(Cl)C=C4)C=C(C)C=C3S2)C(P->%17(C2=CC=C(Cl)C=C2)C2=CC=C(Cl)C=C2)=C1.[RhH]%16%17%18.[C-]->%18#[O+],CC1=CC2=C(OC3=C(P(C4=CC=C(Cl)C=C4)C4=CC=C(Cl)C=C4)C=C(C)C=C3S2)C(P(C2=CC=C(Cl)C=C2)C2=CC=C(Cl)C=C2)=C1,CC1=CC=CC=C1,393.15,10,1,0.5,10,1746,0.5,0.146128036,2060.28,,0.536440907,1.4,,
863,C=CC1=CC=CC=C1,Rh,CC1=CC2=C(OC3=C(P->%16(C4=CC=C(C(F)(F)F)C=C4)C4=CC=C(C(F)(F)F)C=C4)C=C(C)C=C3S2)C(P->%17(C2=CC=C(C(F)(F)F)C=C2)C2=CC=C(C(F)(F)F)C=C2)=C1.[RhH]%16%17%18.[C-]->%18#[O+],CC1=CC2=C(OC3=C(P(C4=CC=C(C(F)(F)F)C=C4)C4=CC=C(C(F)(F)F)C=C4)C=C(C)C=C3S2)C(P(C2=CC=C(C(F)(F)F)C=C2)C2=CC=C(C(F)(F)F)C=C2)=C1,CC1=CC=CC=C1,393.15,10,1,0.5,10,1746,0.5,0.255272505,2234.88,,0.563658979,1.8,,
864,C=CCCCCCC,Rh,CC1=CC=C2OC3=C(C=C(C)C=C3)P->%16(C3=CC=CC4=C3OC3=C(P->%175C6=CC(C)=CC=C6OC6=C5C=C(C)C=C6)C=CC=C3C4(C)C)C2=C1.[RhH]%16%17%18.[C-]->%18#[O+],CC1=CC=C2OC3=C(C=C(C)C=C3)P(C3=CC=CC4=C3OC3=C(P5C6=CC(C)=CC=C6OC6=C5C=C(C)C=C6)C=CC=C3C4(C)C)C2=C1,CC1=CC=CC=C1,353.15,20,1,0.342564444,5,637,1,1.50965048,1617.768595,,0.876471441,32.33333333,,
865,C=CCCCCCC,Rh,CC1=CC=C2OC3=C(C=C(C)C=C3)P->%16(C3=CC(C)=CC4=C3OC3=C(P->%175C6=CC(C)=CC=C6OC6=C5C=C(C)C=C6)C=C(C)C=C3C4(C)C)C2=C1.[RhH]%16%17%18.[C-]->%18#[O+],CC1=CC=C2OC3=C(C=C(C)C=C3)P(C3=CC(C)=CC4=C3OC3=C(P5C6=CC(C)=CC=C6OC6=C5C=C(C)C=C6)C=C(C)C=C3C4(C)C)C2=C1,CC1=CC=CC=C1,353.15,20,1,0.372222892,5,637,1,1.50965048,1488.865979,,0.876471441,32.33333333,,
866,C=CCCCCCC,Rh,CC1=CC(P->%162C3=CC(CCC(C)(C)C)=CC=C3OC3=C2C=C(CCC(C)(C)C)C=C3)=C2OC3=C(C=C(C)C=C3P->%173C4=CC(CCC(C)(C)C)=CC=C4OC4=C3C=C(CCC(C)(C)C)C=C4)C(C)(C)C2=C1.[RhH]%16%17%18.[C-]->%18#[O+],CC1=CC(P2C3=CC(CCC(C)(C)C)=CC=C3OC3=C2C=C(CCC(C)(C)C)C=C3)=C2OC3=C(C=C(C)C=C3P3C4=CC(CCC(C)(C)C)=CC=C4OC4=C3C=C(CCC(C)(C)C)C=C4)C(C)(C)C2=C1,CC1=CC=CC=C1,353.15,20,1,0.491551667,5,637,1,1.06069784,1088.552916,,0.764513177,11.5,,
867,C=CCCCCCC,Rh,CCCCCCC1=CC=C2OC3=C(C=C(CCCCCC)C=C3)P->%16(C3=CC(C)=CC4=C3OC3=C(P->%175C6=CC(CCCCCC)=CC=C6OC6=C5C=C(CCCCCC)C=C6)C=C(C)C=C3C4(C)C)C2=C1.[RhH]%16%17%18.[C-]->%18#[O+],CCCCCCC1=CC=C2OC3=C(C=C(CCCCCC)C=C3)P(C3=CC(C)=CC4=C3OC3=C(P5C6=CC(CCCCCC)=CC=C6OC6=C5C=C(CCCCCC)C=C6)C=C(C)C=C3C4(C)C)C2=C1,CC1=CC=CC=C1,353.15,20,1,0.337256111,5,637,1,1.278753601,1586.56873,,0.818891172,19,,
868,C=CCCCCCC,Rh,CC1=CC=C2OC3=C(C=C(C)C=C3)P->%16(C3=CC(C(C)C)=CC4=C3OC3=C(P->%175C6=CC(C)=CC=C6OC6=C5C=C(C)C=C6)C=C(C(C)C)C=C3C4(C)C)C2=C1.[RhH]%16%17%18.[C-]->%18#[O+],CC1=CC=C2OC3=C(C=C(C)C=C3)P(C3=CC(C(C)C)=CC4=C3OC3=C(P5C6=CC(C)=CC=C6OC6=C5C=C(C)C=C6)C=C(C(C)C)C=C3C4(C)C)C2=C1,CC1=CC=CC=C1,353.15,20,1,0.378315854,5,637,1,1.50965048,1464.887064,,0.876471441,32.33333333,,
869,C=CCCCCCC,Rh,CCC(C)C1=CC(P->%162C3=CC(C)=CC=C3OC3=C2C=C(C)C=C3)=C2OC3=C(C=C(C(C)CC)C=C3P->%173C4=CC(C)=CC=C4OC4=C3C=C(C)C=C4)C(C)(C)C2=C1.[RhH]%16%17%18.[C-]->%18#[O+],CCC(C)C1=CC(P2C3=CC(C)=CC=C3OC3=C2C=C(C)C=C3)=C2OC3=C(C=C(C(C)CC)C=C3P3C4=CC(C)=CC=C4OC4=C3C=C(C)C=C4)C(C)(C)C2=C1,CC1=CC=CC=C1,353.15,20,1,0.364963529,5,637,1,1.50965048,1518.480493,,0.876471441,32.33333333,,
870,C=CCCCCCC,Rh,CC(C)(C)C1=CC(P->%162C3=CC=CC=C3OC3=C2C=CC=C3)=C2OC3=C(C=C(C(C)(C)C)C=C3P->%173C4=CC=CC=C4OC4=C3C=CC=C4)C(C)(C)C2=C1.[RhH]%16%17%18.[C-]->%18#[O+],CC(C)(C)C1=CC(P2C3=CC=CC=C3OC3=C2C=CC=C3)=C2OC3=C(C=C(C(C)(C)C)C=C3P3C4=CC=CC=C4OC4=C3C=CC=C4)C(C)(C)C2=C1,CC1=CC=CC=C1,353.15,20,1,0.331910526,5,637,1,1.995635195,1669.69697,,0.997664637,99,,
871,C=CCCCCCC,Rh,CC1=CC=C2OC3=C(C=C(C)C=C3)P->%16(C3=CC(C(C)(C)C)=CC4=C3OC3=C(P->%175C6=CC(C)=CC=C6OC6=C5C=C(C)C=C6)C=C(C(C)(C)C)C=C3C4(C)C)C2=C1.[RhH]%16%17%18.[C-]->%18#[O+],CC1=CC=C2OC3=C(C=C(C)C=C3)P(C3=CC(C(C)(C)C)=CC4=C3OC3=C(P5C6=CC(C)=CC=C6OC6=C5C=C(C)C=C6)C=C(C(C)(C)C)C=C3C4(C)C)C2=C1,CC1=CC=CC=C1,353.15,20,1,0.411077333,5,637,1,1.50965048,1348.140496,,0.876471441,32.33333333,,
