index,ca,c1,c2,m,p1,p2,ba,bv,t,p,co/h2,t/h,L/M,S/M,M,MW,XLogP3,TPSA,Density,MV,RI,DM,MP,BP,L/B
678,91.4093645,-0.053672119,-0.054988829,0.04157923,0.188414261,0.178607444,90.79701806,0.775472885,308.15,4.5,1,5,1.25,500,2,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-1.380211242
679,91.4093645,-0.053672119,-0.054988829,-0.039653024,0.207349616,0.197305069,83.99275331,0.685752889,308.15,4.5,1,5,1.25,500,2,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-1.397940009
680,91.4093645,-0.053672119,-0.054988829,-0.039653024,0.207349616,0.197305069,83.99275331,0.685752889,298.15,4.5,1,20,1.25,500,2,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-1.748188027
681,130.8685613,-0.047496593,-0.056834382,0.04157923,0.188414261,0.178607444,90.79701806,0.775472885,333.15,4.5,1,2,1.25,500,2,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-1.69019608
682,130.8685613,-0.047496593,-0.056834382,0.04157923,0.188414261,0.178607444,90.79701806,0.775472885,308.15,4.5,1,5,1.25,500,2,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-1.886490725
683,130.8685613,-0.047496593,-0.056834382,-0.039653024,0.207349616,0.197305069,83.99275331,0.685752889,308.15,4.5,1,5,1.25,500,2,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-1.851258349
684,130.8685613,-0.047496593,-0.056834382,-0.039653024,0.207349616,0.197305069,83.99275331,0.685752889,298.15,4.5,1,20,1.25,500,2,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-1.748188027
685,86.52014523,-0.097025505,-0.034436355,-0.035422299,0.33096622,0.330447162,149.1601774,0.772875512,393.15,50,1,1.5,5,15700,0.1078,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,0.086359831
686,86.52014523,-0.097025505,-0.034436355,-0.045263631,0.343056744,0.337095285,158.7873421,0.739365915,393.15,50,1,1.5,5,15700,0.1078,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-0.045757491
687,86.52014523,-0.097025505,-0.034436355,-0.043842509,0.34779091,0.34735623,161.4198388,0.825370388,393.15,50,1,3,5,15700,0.1078,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-0.180456064
688,86.52014523,-0.097025505,-0.034436355,-0.049959034,0.351766541,0.34928627,170.4519521,0.857406588,393.15,50,1,3,5,15700,0.1078,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-0.214670165
689,86.52014523,-0.097025505,-0.034436355,-0.000493557,0.326884946,0.322923744,144.1936196,0.779147643,393.15,50,1,1,5,15700,0.1078,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,0.012837225
690,86.52014523,-0.097025505,-0.034436355,-0.000493557,0.326884946,0.322923744,144.1936196,0.779147643,373.15,50,1,1,5,15700,0.1078,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,0.113943352
691,86.52014523,-0.097025505,-0.034436355,-0.000493557,0.326884946,0.322923744,144.1936196,0.779147643,353.15,50,1,1,5,15700,0.1078,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,0.195899652
692,86.52014523,-0.097025505,-0.034436355,-0.000493557,0.326884946,0.322923744,144.1936196,0.779147643,343.15,50,1,2,5,15700,0.1078,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,0.155336037
693,86.52014523,-0.097025505,-0.034436355,-0.000493557,0.326884946,0.322923744,144.1936196,0.779147643,333.15,50,1,4,5,15700,0.1078,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,0.1430148
694,89.75800779,-0.110948011,-0.003449491,0.012228863,0.190892129,0.190653462,84.53176009,0.71477241,313.15,9.65,1,4,1.1,200,3.75,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-1.431363764
695,89.76536822,-0.126149332,0.001965168,0.012228863,0.190892129,0.190653462,84.53176009,0.71477241,313.15,9.65,1,6,1.1,200,3.75,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-1.079181246
696,87.04574628,-0.097700623,0.001944652,0.012228863,0.190892129,0.190653462,84.53176009,0.71477241,313.15,9.65,1,8,1.1,200,3.75,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-1.698970004
697,125.4940534,-0.116891366,0.000108633,0.012228863,0.190892129,0.190653462,84.53176009,0.71477241,313.15,9.65,1,12,1.1,200,3.75,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-1.707570176
698,103.4333215,-0.129580633,0.00870219,0.012228863,0.190892129,0.190653462,84.53176009,0.71477241,313.15,9.65,1,12,1.1,200,3.75,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-1.51851394
699,96.06640468,-0.095366413,0.002894997,0.012228863,0.190892129,0.190653462,84.53176009,0.71477241,313.15,9.65,1,6,1.1,200,3.75,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-1.698970004
700,87.56566775,-0.087027869,-0.043409795,0.012228863,0.190892129,0.190653462,84.53176009,0.71477241,313.15,9.65,1,4,1.1,200,3.75,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,0.531478917
701,110.0845617,-0.094997285,-0.046270184,0.012228863,0.190892129,0.190653462,84.53176009,0.71477241,313.15,9.65,1,4,1.1,200,3.75,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-0.301029996
702,171.5749876,-0.090734608,-0.041621574,0.012228863,0.190892129,0.190653462,84.53176009,0.71477241,313.15,9.65,1,4,1.1,200,3.75,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-0.301029996
703,90.23794522,-0.080145675,-0.035157207,0.012228863,0.190892129,0.190653462,84.53176009,0.71477241,313.15,9.65,1,4,1.1,200,3.75,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-0.414973348
704,124.0447296,-0.088578293,-0.040603598,0.012228863,0.190892129,0.190653462,84.53176009,0.71477241,313.15,9.65,1,4,1.1,200,3.75,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-0.643452676
705,100.6126227,-0.074450562,-0.041755161,0.012228863,0.190892129,0.190653462,84.53176009,0.71477241,313.15,9.65,1,4,1.1,200,3.75,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-0.62324929
706,100.2548395,-0.082015278,-0.045061486,0.012228863,0.190892129,0.190653462,84.53176009,0.71477241,313.15,9.65,1,4,1.1,200,3.75,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-0.361727836
707,140.418141,-0.063144695,-0.046960574,0.012228863,0.190892129,0.190653462,84.53176009,0.71477241,313.15,9.65,1,18,1.1,2500,0.4,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-0.851258349
708,89.62573535,-0.105519562,0.033941616,-0.022371798,0.203897174,0.192867941,96.80448209,0.692129845,353.15,80,1,6,2.5,300,1.67,78.11,2.1,0,0.879,88.9,1.501,0,6,81,-1.380211242
709,85.27363784,-0.078348851,-0.03968073,-0.022371798,0.203897174,0.192867941,96.80448209,0.692129845,353.15,80,1,3,2.5,300,1.67,78.11,2.1,0,0.879,88.9,1.501,0,6,81,-1.995635195
710,115.8187912,-0.135728166,0.037473364,-0.022371798,0.203897174,0.192867941,96.80448209,0.692129845,353.15,80,1,5,2.5,300,1.67,78.11,2.1,0,0.879,88.9,1.501,0,6,81,-0.602059991
711,102.3562711,-0.08878109,0.004211916,-0.022371798,0.203897174,0.192867941,96.80448209,0.692129845,353.15,80,1,18,2.5,300,1.67,78.11,2.1,0,0.879,88.9,1.501,0,6,81,1.995635195
712,100.2964327,-0.084340056,0.002276254,-0.022371798,0.203897174,0.192867941,96.80448209,0.692129845,353.15,80,1,21,2.5,300,1.67,78.11,2.1,0,0.879,88.9,1.501,0,6,81,-1.995635195
713,85.3619317,-0.086168799,0.038186577,-0.022371798,0.203897174,0.192867941,96.80448209,0.692129845,303.15,90,1,20,2.5,300,1.67,78.11,2.1,0,0.879,88.9,1.501,0,6,81,-1.278753601
714,85.3619317,-0.086168799,0.038186577,0.023856253,0.434998497,0.398148996,56.69081147,0.573669866,303.15,90,1,5,2.5,300,1.67,78.11,2.1,0,0.879,88.9,1.501,0,6,81,-1.278753601
